Date,Cases,Cumulative_cases,Country
2022/7/25,1,1,Andorra
2022/7/26,2,3,Andorra
2022/7/27,0,3,Andorra
2022/7/28,0,3,Andorra
2022/7/29,0,3,Andorra
2022/7/30,0,3,Andorra
2022/7/31,0,3,Andorra
2022/8/1,0,3,Andorra
2022/8/2,0,3,Andorra
2022/8/3,0,3,Andorra
2022/8/4,0,3,Andorra
2022/8/5,0,3,Andorra
2022/8/6,0,3,Andorra
2022/8/7,0,3,Andorra
2022/8/8,1,4,Andorra
2022/8/9,0,4,Andorra
2022/8/10,0,4,Andorra
2022/8/11,0,4,Andorra
2022/8/12,0,4,Andorra
2022/8/13,0,4,Andorra
2022/8/14,0,4,Andorra
2022/8/15,0,4,Andorra
2022/8/16,0,4,Andorra
2022/8/17,0,4,Andorra
2022/8/18,0,4,Andorra
2022/8/19,0,4,Andorra
2022/8/20,0,4,Andorra
2022/8/21,0,4,Andorra
2022/8/22,0,4,Andorra
2022/8/23,0,4,Andorra
2022/8/24,0,4,Andorra
2022/8/25,0,4,Andorra
2022/8/26,0,4,Andorra
2022/8/27,0,4,Andorra
2022/8/28,0,4,Andorra
2022/8/29,0,4,Andorra
2022/8/30,0,4,Andorra
2022/8/31,0,4,Andorra
2022/9/1,0,4,Andorra
2022/9/2,0,4,Andorra
2022/9/3,0,4,Andorra
2022/9/4,0,4,Andorra
2022/9/5,0,4,Andorra
2022/9/6,0,4,Andorra
2022/9/7,0,4,Andorra
2022/9/8,0,4,Andorra
2022/5/27,2,2,Argentina
2022/5/28,0,2,Argentina
2022/5/29,0,2,Argentina
2022/5/30,0,2,Argentina
2022/5/31,0,2,Argentina
2022/6/1,0,2,Argentina
2022/6/2,0,2,Argentina
2022/6/3,0,2,Argentina
2022/6/4,0,2,Argentina
2022/6/5,0,2,Argentina
2022/6/6,0,2,Argentina
2022/6/7,0,2,Argentina
2022/6/8,0,2,Argentina
2022/6/9,1,3,Argentina
2022/6/10,0,3,Argentina
2022/6/11,0,3,Argentina
2022/6/12,0,3,Argentina
2022/6/13,0,3,Argentina
2022/6/14,0,3,Argentina
2022/6/15,0,3,Argentina
2022/6/16,0,3,Argentina
2022/6/17,0,3,Argentina
2022/6/18,0,3,Argentina
2022/6/19,0,3,Argentina
2022/6/20,0,3,Argentina
2022/6/21,1,4,Argentina
2022/6/22,0,4,Argentina
2022/6/23,0,4,Argentina
2022/6/24,0,4,Argentina
2022/6/25,0,4,Argentina
2022/6/26,0,4,Argentina
2022/6/27,0,4,Argentina
2022/6/28,1,5,Argentina
2022/6/29,0,5,Argentina
2022/6/30,1,6,Argentina
2022/7/1,0,6,Argentina
2022/7/2,0,6,Argentina
2022/7/3,0,6,Argentina
2022/7/4,0,6,Argentina
2022/7/5,0,6,Argentina
2022/7/6,0,6,Argentina
2022/7/7,0,6,Argentina
2022/7/8,3,9,Argentina
2022/7/9,0,9,Argentina
2022/7/10,0,9,Argentina
2022/7/11,0,9,Argentina
2022/7/12,0,9,Argentina
2022/7/13,3,12,Argentina
2022/7/14,1,13,Argentina
2022/7/15,0,13,Argentina
2022/7/16,0,13,Argentina
2022/7/17,0,13,Argentina
2022/7/18,0,13,Argentina
2022/7/19,0,13,Argentina
2022/7/20,0,13,Argentina
2022/7/21,0,13,Argentina
2022/7/22,5,18,Argentina
2022/7/23,0,18,Argentina
2022/7/24,0,18,Argentina
2022/7/25,0,18,Argentina
2022/7/26,2,20,Argentina
2022/7/27,3,23,Argentina
2022/7/28,0,23,Argentina
2022/7/29,0,23,Argentina
2022/7/30,0,23,Argentina
2022/7/31,0,23,Argentina
2022/8/1,0,23,Argentina
2022/8/2,0,23,Argentina
2022/8/3,14,37,Argentina
